1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
85,0,75,0
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,90,75,60
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
